"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","40520 Kuokkala-Ristikivi   (Jyväskylä )","Yksiöt",160,17.74,"40520"
"2024Q2","90130 Raksila   (Oulu )","Yksiöt",256,17.69,"90130"
"2024Q2","15110 Keski-Lahti   (Lahti )","Yksiöt",268,17.64,"15110"
"2024Q2","20200 Iso-Heikkilä   (Turku )","Yksiöt",140,17.61,"20200"
"2024Q2","33300 Rahola   (Tampere )","Yksiöt",77,17.6,"33300"
"2024Q2","03100 Nummela   (Vihti )","Yksiöt",147,17.57,"03100"
"2024Q2","01900 Nurmijärvi Keskus   (Nurmijärvi )","Yksiöt",61,17.56,"01900"
"2024Q2","15140 Kartano-Paavola   (Lahti )","Yksiöt",451,17.5,"15140"
"2024Q2","60320 Alakylä-Jouppi   (Seinäjoki )","Yksiöt",62,17.46,"60320"
"2024Q2","65100 Vaasa Keskus   (Vaasa )","Yksiöt",704,17.45,"65100"
"2024Q2","04130 Sipoo   (Sipoo )","Yksiöt",35,17.43,"04130"
"2024Q2","67200 Kiviniitty-Tullimäki   (Kokkola )","Yksiöt",38,17.4,"67200"
"2024Q2","50130 Nuijamies   (Mikkeli )","Yksiöt",33,17.39,"50130"
"2024Q2","90530 Välivainio   (Oulu )","Yksiöt",233,17.37,"90530"
"2024Q2","13130 Kauriala   (Hämeenlinna )","Yksiöt",158,17.35,"13130"
"2024Q2","33820 Koivistonkylä   (Tampere )","Yksiöt",37,17.35,"33820"
"2024Q2","96300 Niemelänkangas-Korvanniemi   (Rovaniemi )","Yksiöt",172,17.31,"96300"
"2024Q2","90420 Metsokangas   (Oulu )","Yksiöt",74,17.29,"90420"
"2024Q2","90120 Heinäpää   (Oulu )","Yksiöt",431,17.24,"90120"
"2024Q2","90500 Tuira   (Oulu )","Yksiöt",748,17.21,"90500"
"2024Q2","90230 Värttö-Maikkula   (Oulu )","Yksiöt",80,17.19,"90230"
"2024Q2","20880 Uittamo   (Turku )","Yksiöt",62,17.17,"20880"
"2024Q2","02410 Gesterby   (Kirkkonummi )","Yksiöt",41,17.12,"02410"
"2024Q2","20740 Ilpoinen-Harittu   (Turku )","Yksiöt",59,17.09,"20740"
"2024Q2","08100 Lohja Keskus   (Lohja )","Yksiöt",107,17.08,"08100"
"2024Q2","70700 Särkiniemi   (Kuopio )","Yksiöt",37,17.08,"70700"
"2024Q2","15700 Hennala-Jokimaa   (Hollola )","Yksiöt",89,17.05,"15700"
"2024Q2","20360 Kärsämäki-Urusvuori-Halinen   (Turku )","Yksiöt",191,17.04,"20360"
"2024Q2","70500 Männistö   (Kuopio )","Yksiöt",174,16.98,"70500"
"2024Q2","67100 Kokkola Keskus   (Kokkola )","Yksiöt",181,16.96,"67100"
"2024Q2","50100 Mikkeli Keskus   (Mikkeli )","Yksiöt",282,16.86,"50100"
"2024Q2","20320 Kuninkoja-Mälikkälä   (Turku )","Yksiöt",281,16.85,"20320"
"2024Q2","33960 Suuppa   (Pirkkala )","Yksiöt",51,16.84,"33960"
"2024Q2","70620 Haapaniemi   (Kuopio )","Yksiöt",35,16.84,"70620"
"2024Q2","40420 Jyskä   (Jyväskylä )","Yksiöt",62,16.82,"40420"
"2024Q2","13210 Hätilä   (Hämeenlinna )","Yksiöt",82,16.79,"13210"
"2024Q2","53850 Skinnarila   (Lappeenranta )","Yksiöt",130,16.79,"53850"
"2024Q2","96400 Pullinranta-Kiiruna   (Rovaniemi )","Yksiöt",29,16.76,"96400"
"2024Q2","33840 Peltolammi   (Tampere )","Yksiöt",39,16.7,"33840"
"2024Q2","70280 Länsi-Puijo   (Kuopio )","Yksiöt",44,16.67,"70280"
"2024Q2","90150 Höyhtyä   (Oulu )","Yksiöt",92,16.6,"90150"
"2024Q2","70460 Saarijärvi   (Kuopio )","Yksiöt",51,16.58,"70460"
"2024Q2","20210 Pahaniemi   (Turku )","Yksiöt",89,16.57,"20210"
